id,name
30000019,401
30000051,CAT
30000009,206
30000006,202
30000040,708
30000089,613
30000038,703
30000048,11
30000001,101
30000007,203
30000021,403
30000117,CT14
30000100,CT13
30000020,401E
30000010,301
30000014,304
30000005,201
30000012,302
30000018,308
30000034,610
30000119,T310
30000026,601
30000028,604
30000041,709
30000024,502
30000065,706
30000013,303
30000042,801
30000008,204
30000022,404
30000049,12
30000032,606
30000016,306
30000037,702
30000031,605
30000046,EB60
30000043,802
30000003,103
30000121,803
30000045,EB80
30000002,102
30000004,104
30000104,C13C
30000036,701
30000050,13
30000027,603
30000039,707
30000103,C13A
30000111,T502
