stop_id,stop_sequence
12002114,1
12000007,2
12001916,3
12001918,4
12001920,5
12001922,6
12001064,7
12001061,8
12002116,9
12000356,10
12000357,11
12000358,12
12003016,13
12000360,14
12000972,15
12000718,16
12000719,17
12000720,18
12000721,19
12000722,20
12000723,21
12000724,22
12000726,23
12000727,24
12001644,25
12001646,26
12001648,27
12001650,28
12001652,29
12001654,30
12001655,31
12002249,32
12001658,33
12001659,34
12001661,35
12001663,36
12001672,37
12001675,38
12001673,39
12001668,40
12001669,41
12001676,42
12003014,43
12000212,44
12000222,45
12000227,46
12000234,47
12000229,48
12002250,49
12000231,50
12002210,51
12000238,52
12000235,53
12000225,54
12000223,55
12000220,56
12000218,57
12000216,58
12000214,59
12000210,60
12000207,61
12002251,62
12000204,63
12000202,64
12002975,65
12001766,66
12001763,67
12002223,68
12002224,69
12002200,70
12001752,71
12001750,72
12001754,73
12001756,74
12001760,75
12001757,76
12002252,77
12001765,78
12001761,79
12001758,80
12001759,81
12001762,82
12001764,83
