stop_id,stop_sequence
12001764,1
12001767,2
12002976,3
12000203,4
12000205,5
12002230,6
12000206,7
12002204,8
12000215,9
12000217,10
12000221,11
12000224,12
12000228,13
12000236,14
12000239,15
12000237,16
12002253,17
12000232,18
12000230,19
12000233,20
12000226,21
12000219,22
12000213,23
12000208,24
12001677,25
12001671,26
12001670,27
12001678,28
12001679,29
12001674,30
12001667,31
12001664,32
12001662,33
12001660,34
12001657,35
12001656,36
12001653,37
12001651,38
12001649,39
12001647,40
12001645,41
12000105,42
12000102,43
12000101,44
12000371,45
12000369,46
12000368,47
12000367,48
12000365,49
12000363,50
12000362,51
12000361,52
12001084,53
12001083,54
12000833,55
12000832,56
12000831,57
12000829,58
12000828,59
12001060,60
12001832,61
12001835,62
12001399,63
12001397,64
12001921,65
12001919,66
12001917,67
12002318,68
12002056,69
12002058,70
12002971,71
12001943,72
12002972,73
12002057,74
12002114,75
