stop_id,stop_code,stop_name,stop_lat,stop_lon
12000418,IBE0418,Setia Triangle,5.30294,100.26187
12000427,IBE0427,Tingkat Kenari,5.31454,100.266
12000512,IBN0512,Surau Gertak Sanggul,5.2823,100.1942
12000513,IBN0513,Klinik Desa,5.28238,100.1976
12000616,ICG0616,Masjid Makbul Teluk Kumbar,5.29419,100.22805
12000847,IDN0847,KFC Jalan Mahsuri,5.32686,100.28667
12000885,IDT0885,Sunshine Square,5.325499,100.2875
12001442,IGR1442,Terminal Bas Ekpress Sg Nibong,5.3429400000000005,100.30105999999999
12001847,IID1847,Kompleks Bukit Jambul,5.3327029999999995,100.29074
12002205,IGR1500,Klinik Rakyat,5.348064900000001,100.30371629999999
12001425,IGR1425,B Braun,5.3083800000000005,100.28226
12001815,IHX1815,Fortune Court,5.3978,100.28845
12001973,IJI1973,Lebuhraya Thean Teik,5.38875,100.27956
12000213,IAD0213,Mar Vista,5.4707300000000005,100.27724
12000232,IAD0232,Moon Light Cafe,5.47812,100.26286
12000833,IDJ0833,Hospital Loh Guan Lye,5.4191199999999995,100.3182
12001060,IEV1060,Komtar Utara,5.41513,100.32899
12001662,IHJ1662,Chinese Swimming Club,5.46285,100.30404
12001671,IHJ1671,Harmony Residence,5.46546,100.28178
12001677,IHJ1677,Tsunami Village,5.4662,100.27991
12001832,IIC1832,Wisma MCA,5.41841,100.32954000000001
12002230,IKY2120,Feringghi Villa,5.46537604,100.24112262
12002976,IHP1901,Hotel Angsana,5.4621399,100.220251
12000753,MCW0753,Kampung Telok Manan,5.57533,100.36786
12001716,MHO1716,Kuarters TUDM,5.4596599999999995,100.3832
12001731,MHO1731,Masjid Jamek Teluk Air Tawar,5.4882,100.3838
12002544,ICT0701,SK Bagan Jermal,5.431374,100.378297
12002637,MCW0780,Hub Kuala Muda,5.5692459,100.34842330000001
12000746,MCW0746,Padang SK Pulau Mertajam,5.57072,100.36244
12000748,MCW0748,SK Pulau Mertajam,5.57275,100.36416
12001110,MFC1110,Masjid Bakar Kapor,5.53999,100.37881
12001111,MFC1111,Bakar Kapor,5.544969999999999,100.37819
12001113,MFC1113,Pasir Gebu,5.54724,100.37779
12001714,MHO1714,Padang Golf TUDM,5.45589,100.38345
12001715,MHO1715,Kuarters TUDM,5.45942,100.38332
12001728,MHO1728,SK Telok Air Tawar,5.4842699999999995,100.38365999999999
12001730,MHO1730,Klinik Desa Teluk Air Tawar,5.48784,100.38381
12002549,ICT0706,Maybank Butterworth,5.3977580000000005,100.367789
12000460,IBF0460,Penjara P.Pinang(Hospital),5.41364,100.31312
12000963,IEJ0963,Lorong Padang Tembak,5.40683,100.29616
12001379,IGE1379,Flat Padang Tembak,5.41063,100.29005
12000063,I0Q0063,BHP Kampung Baru,5.40468,100.29051
12000968,IEJ0968,SK Padang Tembak,5.41019,100.29205
12001376,IGE1376,Jalan Sempadan,5.40766,100.28867
12001508,MGX1508,Pusat Perniagaan Desa Murni,5.4371,100.43021
12001547,MGX1547,Masjid Nyior Sebatang,5.46042,100.44818000000001
12002361,ICT0104,Taman Pasir Indah,5.429739,100.432323
12002364,ICT0107,Pejabat Pos Penanti,5.405272,100.463646
12000251,MAI0251,Hospital Kepala Batas,5.51273,100.43768
12001851,MIE1851,Taman Perda Indah,5.510836,100.50480999999999
12001855,MIE1855,Kiosk Bertam,5.5181,100.44866999999999
12001856,MIE1856,Kayangan,5.51812,100.45221
12001858,MIE1858,Masjid Kubang Menerong,5.5185699999999995,100.50645
12001863,MIE1863,MRSM Kepala Batas,5.519430000000001,100.47277
12001872,MIE1872,Taman Sri Menderung,5.51461,100.50601999999999
12002949,MFH1302,Bertam Putra 3,5.5181192,100.4811417
12002950,MFH1303,Pusat Penjaja Bandar Putra Bertam,5.518487599999999,100.4811202
12000059,I0Q0059,Pejabat Pos Ayer Itam,5.4041,100.28008
12000151,I0Z0151,Kek Lok Si Temple,5.40238,100.27728
12001066,IEV1066,Hotel Cititel,5.42143,100.3337
12002243,I0G0015,Anggerik Villa,5.368602,100.3084
12002245,IKY2505,Jalan Delima 6,5.383780000000001,100.3046
12001215,MFI1215,Sunway Wellesley,5.368530000000001,100.45774
12001216,MFI1216,Pusat Perniagaan Permatang Rawa,5.36862,100.44489
12001176,MFH1176,Pangsapuri Seri Pauh,5.36905,100.42336999999999
12001185,MFH1185,Masjid Permatang Janggus,5.40102,100.41705999999999
12001192,MFH1192,Shell Mak Mandin,5.41427,100.38765
12002604,ICT0902,Kompleks Fareeda,5.405966200000001,100.4151894
12000391,MBA0391,Taman Limbungan Chain Ferry,5.40078,100.37832
12000392,MBA0392,Pusat Perniagaan Chain Ferry I,5.40128,100.37952
12001879,MIF1879,Hospital Seberang Jaya II,5.3931,100.4062
12001881,MIF1881,Hospital Seberang Jaya,5.39454,100.40633000000001
