trip_id,start_time,end_time,headway_secs,exact_times
weekday_K6040_K604002_0,06:30:00,09:50:00,6000,0
weekday_K6040_K604002_1,12:00:00,13:00:00,7800,0
weekday_K6040_K604002_2,14:00:00,15:00:00,7200,0
weekday_K1020_K102002_0,06:30:00,16:20:00,5400,0
weekday_K1020_K102002_1,17:00:00,18:05:00,5400,0
weekday_K1020_K102002_2,18:30:00,19:30:00,5400,0
weekday_K1020_K102002_3,20:00:00,20:50:00,5400,0
weekend_K1020_K102002_0,06:30:00,16:20:00,5400,0
weekend_K1020_K102002_1,17:00:00,18:05:00,5400,0
weekend_K1020_K102002_2,18:30:00,19:30:00,5400,0
weekend_K1020_K102002_3,20:00:00,20:50:00,5400,0
weekend_K4010_K401002_0,08:00:00,10:00:00,7200,0
weekend_K4010_K401001_0,09:40:00,11:40:00,7200,0
weekend_K4010_K401002_1,11:20:00,14:40:00,12000,0
weekend_K4010_K401001_1,13:00:00,16:20:00,12000,0
weekend_K4010_K401002_2,18:00:00,20:00:00,12000,0
weekend_K4010_K401001_3,06:30:00,08:30:00,11400,0
weekday_K4010_K401002_0,08:00:00,09:00:00,7200,0
weekday_K4010_K401001_0,09:40:00,11:40:00,7200,0
weekday_K4010_K401002_1,11:20:00,14:40:00,12000,0
weekday_K4010_K401001_1,13:00:00,16:20:00,12000,0
weekday_K4010_K401002_2,18:00:00,20:00:00,12000,0
weekday_K4010_K401001_3,06:30:00,08:30:00,11400,0
weekday_K3020_K302002_0,07:40:00,08:10:00,6000,0
weekday_K3020_K302001_0,08:50:00,09:20:00,6000,0
weekday_K3020_K302002_1,10:00:00,12:20:00,8400,0
weekday_K3020_K302001_1,11:10:00,13:30:00,8400,0
weekday_K3020_K302002_2,14:40:00,15:20:00,8400,0
weekday_K3020_K302001_2,16:00:00,16:30:00,8400,0
weekday_K3020_K302002_3,17:20:00,17:50:00,9600,0
weekday_K3020_K302001_3,18:40:00,19:10:00,9600,0
weekday_K3020_K302002_4,20:00:00,20:30:00,9600,0
weekday_K3020_K302001_5,06:30:00,07:00:00,8400,0
weekend_K3020_K302002_0,07:40:00,08:10:00,6000,0
weekend_K3020_K302001_0,08:50:00,09:20:00,6000,0
weekend_K3020_K302002_1,10:00:00,12:20:00,8400,0
weekend_K3020_K302001_1,11:10:00,13:30:00,8400,0
weekend_K3020_K302002_2,14:40:00,15:10:00,8400,0
weekend_K3020_K302001_2,16:00:00,16:30:00,8400,0
weekend_K3020_K302002_3,17:20:00,17:50:00,9600,0
weekend_K3020_K302001_3,18:40:00,19:10:00,9600,0
weekend_K3020_K302002_4,20:00:00,20:30:00,9600,0
weekend_K3020_K302001_5,06:30:00,07:00:00,8400,0
weekend_K6030_K603002_0,07:30:00,07:50:00,4200,0
weekday_K6030_K603002_0,07:30:00,07:50:00,4200,0
weekday_K1010_K101002_0,05:40:00,06:30:00,5400,0
weekday_K1010_K101002_1,07:10:00,08:10:00,6600,0
weekday_K1010_K101002_2,09:00:00,16:20:00,6600,0
weekday_K1010_K101002_3,18:10:00,19:00:00,6600,0
weekday_K1010_K101002_4,20:00:00,21:00:00,6600,0
weekend_K1010_K101002_0,05:40:00,06:40:00,5400,0
weekend_K1010_K101002_1,07:10:00,16:20:00,6600,0
weekend_K1010_K101002_2,18:10:00,19:10:00,6600,0
weekend_K1010_K101002_3,20:00:00,21:00:00,6600,0
weekday_K2010_K201002_0,06:00:00,07:00:00,1800,0
weekday_K2010_K201002_1,07:15:00,08:00:00,900,0
weekday_K2010_K201002_2,08:30:00,20:30:00,900,0
weekday_K2010_K201002_3,21:00:00,22:00:00,1800,0
weekend_K2010_K201002_0,06:00:00,07:00:00,1800,0
weekend_K2010_K201002_1,07:15:00,08:00:00,900,0
weekend_K2010_K201002_2,08:30:00,20:30:00,900,0
weekend_K2010_K201002_3,21:00:00,22:00:00,1800,0
weekday_K2000_K200002_0,07:30:00,08:40:00,4200,0
weekday_K2000_K200001_0,08:00:00,09:20:00,4200,0
weekday_K2000_K200002_1,10:00:00,19:20:00,4800,0
weekday_K2000_K200001_1,10:40:00,20:00:00,4800,0
weekend_K2000_K200002_0,07:30:00,08:40:00,4200,0
weekend_K2000_K200001_0,08:00:00,09:20:00,4200,0
weekend_K2000_K200002_1,10:00:00,19:20:00,4800,0
weekend_K2000_K200001_1,10:40:00,20:00:00,4800,0
weekday_K3000_K300002_0,07:30:00,10:00:00,9000,0
weekday_K3000_K300001_0,08:30:00,11:00:00,9000,0
weekday_K3000_K300002_1,12:00:00,18:00:00,7200,0
weekday_K3000_K300001_1,13:00:00,19:00:00,7200,0
weekday_K3000_K300002_2,20:00:00,23:00:00,7200,0
weekday_K3000_K300001_3,06:00:00,06:10:00,9000,0
weekend_K3000_K300002_0,07:30:00,10:00:00,9000,0
