route_id,service_id,trip_id,trip_headsign,direction_id,wheelchair_accessible
T33,ALLDAY,0002_T33CWL_12423_1_P3_ALLDAY_2_2,JB Sentral - Hab Taman Tan Sri Yaacob 2.0,1,0
T14,ALLDAY,0002_T14CWL_12417_1_A3_ALLDAY_2_2,JB Sentral - Toppen / Ikea,1,0
T20,ALLDAY,0002_T20CWL_12428_0_A6_ALLDAY_1_1,Terminal Pasir Gudangi - JB Sentral 2.0,0,0
T13,ALLDAY,0002_T13CWL_12416_0_P3_ALLDAY_1_3,Larkin Sentral - JB Sentral 2.0,0,0
T10,ALLDAY,0002_T10CWL_12356_1_A10_ALLDAY_2_1,JB Sentral - Terminal Kota Tinggi,1,0
T30,ALLDAY,0002_T30CWL_12264_0_P8_ALLDAY_2_1,Terminal Kulai - JB Sentral,0,0
T30,ALLDAY,0002_T30CWL_12263_1_A2_ALLDAY_1_2,JB Sentral - Terminal Kulai,1,0
T10,ALLDAY,0002_T10CWL_12357_0_A2_ALLDAY_1_1,Terminal Kota Tinggi - JB Sentral,0,0
T11,ALLDAY,0002_T11CWL_12414_0_A6_ALLDAY_1_3,Terminal Setia Indah - JB Sentral 2.0,0,0
T21,ALLDAY,0002_T21CWL_12262_0_SM4_ALLDAY_1_4,Hentian Bas Permas Jaya - JB Sentral,0,0
T20,ALLDAY,0002_T20CWL_12428_0_P1_ALLDAY_2_3,Terminal Pasir Gudangi - JB Sentral 2.0,0,0
F200,ALLDAY,0002_F200CWL_12410_1_A2_ALLDAY_1_8,Terminal Bas Masai - PPR Seri Alam 2.0,1,0
T14,ALLDAY,0002_T14CWL_12417_1_A4_ALLDAY_2_3,JB Sentral - Toppen / Ikea,1,0
T44,ALLDAY,0002_T44CWL_12425_1_A3_ALLDAY_1_2,Larkin Sentral - Terminal Feri Puteri Harbour,1,0
F300,ALLDAY,0002_F300CWL_12412_0_P1_ALLDAY_2_2,Terminal Putri Kulai - Terminal Kulai 2.0,0,0
