route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
K6040,weekday,weekday_K6040_K604002_0,K604002,,0
K6040,weekday,weekday_K6040_K604002_1,K604002,,0
K6040,weekday,weekday_K6040_K604002_2,K604002,,0
K1020,weekday,weekday_K1020_K102002_0,K102002,,0
K1020,weekday,weekday_K1020_K102002_1,K102002,,0
K1020,weekday,weekday_K1020_K102002_2,K102002,,0
K1020,weekday,weekday_K1020_K102002_3,K102002,,0
K1020,weekend,weekend_K1020_K102002_0,K102002,,0
K1020,weekend,weekend_K1020_K102002_1,K102002,,0
K1020,weekend,weekend_K1020_K102002_2,K102002,,0
K1020,weekend,weekend_K1020_K102002_3,K102002,,0
K4010,weekend,weekend_K4010_K401002_0,K401002,RTC KUALA PAHANG,0
K4010,weekend,weekend_K4010_K401001_0,K401001,HENTIAN BANDAR,1
K4010,weekend,weekend_K4010_K401002_1,K401002,RTC KUALA PAHANG,0
K4010,weekend,weekend_K4010_K401001_1,K401001,HENTIAN BANDAR,1
K4010,weekend,weekend_K4010_K401002_2,K401002,,0
K4010,weekend,weekend_K4010_K401001_3,K401001,,1
K4010,weekday,weekday_K4010_K401002_0,K401002,RTC KUALA PAHANG,0
K4010,weekday,weekday_K4010_K401001_0,K401001,HENTIAN BANDAR,1
K4010,weekday,weekday_K4010_K401002_1,K401002,RTC KUALA PAHANG,0
K4010,weekday,weekday_K4010_K401001_1,K401001,HENTIAN BANDAR,1
K4010,weekday,weekday_K4010_K401002_2,K401002,,0
K4010,weekday,weekday_K4010_K401001_3,K401001,,1
K3020,weekday,weekday_K3020_K302002_0,K302002,INDERA MAHKOTA 1,0
K3020,weekday,weekday_K3020_K302001_0,K302001,HENTIAN BANDAR,1
K3020,weekday,weekday_K3020_K302002_1,K302002,INDERA MAHKOTA 1,0
K3020,weekday,weekday_K3020_K302001_1,K302001,HENTIAN BANDAR,1
K3020,weekday,weekday_K3020_K302002_2,K302002,INDERA MAHKOTA 1,0
K3020,weekday,weekday_K3020_K302001_2,K302001,HENTIAN BANDAR,1
K3020,weekday,weekday_K3020_K302002_3,K302002,INDERA MAHKOTA 1,0
K3020,weekday,weekday_K3020_K302001_3,K302001,HENTIAN BANDAR,1
K3020,weekday,weekday_K3020_K302002_4,K302002,,0
K3020,weekday,weekday_K3020_K302001_5,K302001,,1
K3020,weekend,weekend_K3020_K302002_0,K302002,INDERA MAHKOTA 1,0
K3020,weekend,weekend_K3020_K302001_0,K302001,HENTIAN BANDAR,1
K3020,weekend,weekend_K3020_K302002_1,K302002,INDERA MAHKOTA 1,0
K3020,weekend,weekend_K3020_K302001_1,K302001,HENTIAN BANDAR,1
K3020,weekend,weekend_K3020_K302002_2,K302002,INDERA MAHKOTA 1,0
K3020,weekend,weekend_K3020_K302001_2,K302001,HENTIAN BANDAR,1
K3020,weekend,weekend_K3020_K302002_3,K302002,INDERA MAHKOTA 1,0
K3020,weekend,weekend_K3020_K302001_3,K302001,HENTIAN BANDAR,1
K3020,weekend,weekend_K3020_K302002_4,K302002,,0
K3020,weekend,weekend_K3020_K302001_5,K302001,,1
K6030,weekend,weekend_K6030_K603002_0,K603002,,0
K6030,weekday,weekday_K6030_K603002_0,K603002,,0
K1010,weekday,weekday_K1010_K101002_0,K101002,,0
K1010,weekday,weekday_K1010_K101002_1,K101002,,0
K1010,weekday,weekday_K1010_K101002_2,K101002,,0
K1010,weekday,weekday_K1010_K101002_3,K101002,,0
K1010,weekday,weekday_K1010_K101002_4,K101002,,0
K1010,weekend,weekend_K1010_K101002_0,K101002,,0
K1010,weekend,weekend_K1010_K101002_1,K101002,,0
K1010,weekend,weekend_K1010_K101002_2,K101002,,0
K1010,weekend,weekend_K1010_K101002_3,K101002,,0
K2010,weekday,weekday_K2010_K201002_0,K201002,,0
K2010,weekday,weekday_K2010_K201002_1,K201002,,0
K2010,weekday,weekday_K2010_K201002_2,K201002,,0
